Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
45,07-03-2018,,09:25:00,24271.65,,,,,07-03-2018,,15:19:00,24139.6,891,,,Exit Condition Met For Trade,24373.4,24096.75
45.1,07-03-2018,Wednesday,09:25:00,151.35,15,CE,24300,Sell,07-03-2018,Wednesday,15:19:00,43.95,1611,70.96134787,08-03-2018,Exit Condition Met For Trade,208.45,37.05
45.2,07-03-2018,Wednesday,09:25:00,142.8,15,PE,24300,Sell,07-03-2018,Wednesday,11:13:00,190.8,-720,-33.61344538,08-03-2018,Stop Loss Hit,192.25,115
46,08-03-2018,,09:25:00,24245.55,,,,,08-03-2018,,11:48:00,24225.2,-720,,,,24315.4,24048.55
46.1,08-03-2018,Thursday,09:25:00,105.9,15,CE,24200,Sell,08-03-2018,Thursday,11:48:00,98.9,105,6.610009443,08-03-2018,Stop Loss Hit,136,23.7
46.2,08-03-2018,Thursday,09:25:00,52.75,15,PE,24200,Sell,08-03-2018,Thursday,09:57:00,107.75,-825,-104.2654028,08-03-2018,Stop Loss Hit,108,32.2
47,09-03-2018,,09:25:00,24375.55,,,,,09-03-2018,,14:23:00,24373.95,-990,,,,24497.15,24346.6
47.1,09-03-2018,Friday,09:25:00,217.8,15,CE,24400,Sell,09-03-2018,Friday,12:38:00,276.8,-885,-27.08907254,15-03-2018,Stop Loss Hit,288.25,201.1
47.2,09-03-2018,Friday,09:25:00,256.25,15,PE,24400,Sell,09-03-2018,Friday,14:23:00,263.25,-105,-2.731707317,15-03-2018,Stop Loss Hit,270.5,187.3
48,12-03-2018,,09:25:00,24424.15,,,,,12-03-2018,,15:19:00,24690.75,1102.5,,,Exit Condition Met For Trade,24716.05,24358.5
48.1,12-03-2018,Monday,09:25:00,239,15,CE,24400,Sell,12-03-2018,Monday,10:11:00,284,-675,-18.82845188,15-03-2018,Stop Loss Hit,285,208.15
48.2,12-03-2018,Monday,09:25:00,204.9,15,PE,24400,Sell,12-03-2018,Monday,15:19:00,86.4,1777.5,57.83308931,15-03-2018,Exit Condition Met For Trade,235.05,79.15
49,13-03-2018,,09:25:00,24786.9,,,,,13-03-2018,,13:53:00,24771.2,-735,,,,25009.65,24753.5
49.1,13-03-2018,Tuesday,09:25:00,172.3,15,CE,24800,Sell,13-03-2018,Tuesday,09:50:00,236.3,-960,-37.14451538,15-03-2018,Stop Loss Hit,248.5,161
49.2,13-03-2018,Tuesday,09:25:00,166.05,15,PE,24800,Sell,13-03-2018,Tuesday,13:53:00,151.05,225,9.033423668,15-03-2018,Stop Loss Hit,181.2,75.65
50,14-03-2018,,09:25:00,24599.15,,,,,14-03-2018,,15:19:00,24842.55,1755.75,,,Exit Condition Met For Trade,24894.3,24487
50.1,14-03-2018,Wednesday,09:25:00,166.45,15,CE,24600,Sell,14-03-2018,Wednesday,13:02:00,179.45,-195,-7.810153199,15-03-2018,Stop Loss Hit,183.85,104.3
